ID,Met_topic,Met_vehicle,Eng_item,Metaphor,Simile,Lit_topic/vehicle,LengthTopic,Eng_conventionality,Eng_aptness,Eng_aptness_label,LengthVehicle,FrequencyTopic,FrequencyVehicle,ConcretenessTopic,ConcretenessVehicle,Familiarity,Difficulty,Imageability,Metaphoricity,SemanticDistance,N°interpretations,Strength,resources,Metaphor_log_likelihood_norm,Simile_log_likelihood_norm,Simile_come_cloze_surprisal,source_llm,Metaphor_log_likelihood_norm__sapienzanlp_Minerva_350M_base_v1_0,Simile_log_likelihood_norm__sapienzanlp_Minerva_350M_base_v1_0,Simile_come_cloze_surprisal__sapienzanlp_Minerva_350M_base_v1_0,source_llm__sapienzanlp_Minerva_350M_base_v1_0
11,censura,manetta,,La censura è una manetta.,La censura è come una manetta.,polso,7.0,,,,7.0,52.0,59.0,3.032,4.135,4.0,2.533,3.933,4.933,0.882,1.619,4.917,Bambini et al. (2024),-4.90625,-4.388888888888889,7.34375,sapienzanlp/Minerva-1B-base-v1.0,-4.78125,-4.5,6.875,sapienzanlp/Minerva-350M-base-v1.0
12,cervello,noce,,Il cervello è una noce.,Il cervello è come una noce.,mandorla,8.0,,,,4.0,178.0,54.0,3.69,4.414,3.294,2.765,4.529,5.067,0.817,2.0,5.389,Bambini et al. (2024),-4.446428571428571,-4.125,7.03125,sapienzanlp/Minerva-1B-base-v1.0,-4.821428571428571,-3.875,7.0,sapienzanlp/Minerva-350M-base-v1.0
13,cinismo,armatura,,Il cinismo è un'armatura.,Il cinismo è come un'armatura.,elmo,7.0,,,,8.0,27.0,14.0,2.326,4.141,3.333,3.667,3.467,6.2,0.851,1.5,5.133,Bambini et al. (2024),-3.888888888888889,-3.525,7.59375,sapienzanlp/Minerva-1B-base-v1.0,-3.75,-3.275,6.3125,sapienzanlp/Minerva-350M-base-v1.0
14,contratto,guinzaglio,,Il contratto è un guinzaglio.,Il contratto è come un guinzaglio.,cane,9.0,,,,10.0,338.0,11.0,3.242,4.118,2.412,3.824,3.706,6.133,0.799,1.25,5.312,Bambini et al. (2024),-4.71875,-3.9722222222222223,6.46875,sapienzanlp/Minerva-1B-base-v1.0,-4.53125,-3.7222222222222223,6.5,sapienzanlp/Minerva-350M-base-v1.0
15,cooperazione,orchestra,,La cooperazione è un'orchestra.,La cooperazione è come un'orchestra.,concerto,12.0,,,,9.0,51.0,168.0,2.131,4.036,4.733,2.267,5.733,4.067,0.786,1.65,4.818,Bambini et al. (2024),-3.890625,-3.4166666666666665,7.40625,sapienzanlp/Minerva-1B-base-v1.0,-4.34375,-3.8333333333333335,6.53125,sapienzanlp/Minerva-350M-base-v1.0
16,corruzione,ragnatela,,La corruzione è una ragnatela.,La corruzione è come una ragnatela.,polvere,10.0,,,,9.0,138.0,17.0,2.317,4.186,2.598,3.278,3.921,5.867,0.691,1.6,5.286,Bambini et al. (2024),-3.96875,-3.583333333333333,7.40625,sapienzanlp/Minerva-1B-base-v1.0,-3.875,-3.5833333333333335,7.3125,sapienzanlp/Minerva-350M-base-v1.0
17,coscienza,specchio,,La coscienza è uno specchio.,La coscienza è come uno specchio.,riflesso,9.0,,,,8.0,238.0,138.0,2.198,4.007,4.2,3.467,3.733,6.0,0.713,1.9,5.385,Bambini et al. (2024),-4.395833333333333,-3.875,7.09375,sapienzanlp/Minerva-1B-base-v1.0,-4.833333333333333,-4.0,6.3125,sapienzanlp/Minerva-350M-base-v1.0
18,cravatta,cappio,,La cravatta è un cappio.,La cravatta è come un cappio.,corda,8.0,,,,6.0,48.0,6.0,4.485,4.578,3.933,2.133,4.933,3.933,0.524,1.8,5.056,Bambini et al. (2024),-3.638888888888889,-3.45,7.0,sapienzanlp/Minerva-1B-base-v1.0,-3.9444444444444446,-3.45,6.78125,sapienzanlp/Minerva-350M-base-v1.0
19,curiosità,lente,,La curiosità è una lente.,La curiosità è come una lente.,occhiali,9.0,,,,5.0,175.0,31.0,2.857,3.501,4.267,3.267,4.067,6.133,0.809,1.7,4.917,Bambini et al. (2024),-4.8125,-4.392857142857143,7.1875,sapienzanlp/Minerva-1B-base-v1.0,-5.375,-4.607142857142857,6.09375,sapienzanlp/Minerva-350M-base-v1.0
20,debito,catena,,Il debito è una catena.,Il debito è come una catena.,anello,6.0,,,,6.0,182.0,134.0,3.085,3.856,2.533,3.533,2.867,5.733,0.897,1.5,4.824,Bambini et al. (2024),-5.375,-4.678571428571429,6.84375,sapienzanlp/Minerva-1B-base-v1.0,-4.854166666666667,-4.375,5.375,sapienzanlp/Minerva-350M-base-v1.0
21,delusione,crepa,,La delusione è una crepa.,La delusione è come una crepa.,parete,9.0,,,,5.0,113.0,11.0,2.642,4.488,3.133,3.933,3.333,5.533,0.66,1.619,5.333,Bambini et al. (2024),-4.1875,-3.7777777777777777,6.1875,sapienzanlp/Minerva-1B-base-v1.0,-3.90625,-3.638888888888889,6.3125,sapienzanlp/Minerva-350M-base-v1.0
22,entusiasmo,vulcano,,L'entusiasmo è un vulcano.,L'entusiasmo è come un vulcano.,lava,10.0,,,,7.0,175.0,30.0,2.536,4.191,4.533,2.4,4.6,5.333,0.756,1.6,6.312,Bambini et al. (2024),-3.2222222222222223,-3.1875,6.8125,sapienzanlp/Minerva-1B-base-v1.0,-3.4444444444444446,-3.275,7.3125,sapienzanlp/Minerva-350M-base-v1.0
23,famiglia,nido,,La famiglia è un nido.,La famiglia è come un nido.,uccello,8.0,,,,4.0,1430.0,59.0,3.772,4.554,6.0,1.733,5.333,5.2,0.71,2.0,6.333,Bambini et al. (2024),-4.208333333333333,-3.9642857142857135,6.9375,sapienzanlp/Minerva-1B-base-v1.0,-4.208333333333333,-3.8214285714285716,6.6875,sapienzanlp/Minerva-350M-base-v1.0
24,fede,fiamma,,La fede è una fiamma.,La fede è come una fiamma.,candela,4.0,,,,6.0,231.0,151.0,2.356,4.013,4.892,2.067,4.889,5.467,0.621,1.7,5.118,Bambini et al. (2024),-4.5625,-4.142857142857143,7.125,sapienzanlp/Minerva-1B-base-v1.0,-4.75,-4.178571428571429,6.46875,sapienzanlp/Minerva-350M-base-v1.0
25,fedeltà,nodo,,La fedeltà è un nodo.,La fedeltà è come un nodo.,spago,7.0,,,,4.0,61.0,95.0,2.389,3.882,3.837,3.667,4.8,5.467,0.867,1.95,4.636,Bambini et al. (2024),-5.041666666666667,-4.642857142857143,7.09375,sapienzanlp/Minerva-1B-base-v1.0,-4.979166666666667,-4.5,6.25,sapienzanlp/Minerva-350M-base-v1.0
26,film,mattone,,Il film è un mattone.,Il film è come un mattone.,casa,4.0,,,,7.0,1226.0,64.0,3.608,4.38,3.0,3.412,3.059,5.667,0.772,1.2,5.357,Bambini et al. (2024),-4.178571428571429,-4.1875,7.21875,sapienzanlp/Minerva-1B-base-v1.0,-4.071428571428571,-3.84375,6.40625,sapienzanlp/Minerva-350M-base-v1.0
27,idea,scintilla,,L'idea è una scintilla.,L'idea è come una scintilla.,fiammifero,4.0,,,,9.0,1058.0,28.0,2.486,3.428,5.133,2.133,4.667,5.267,0.688,1.85,5.545,Bambini et al. (2024),-3.84375,-3.611111111111111,6.40625,sapienzanlp/Minerva-1B-base-v1.0,-3.78125,-3.638888888888889,6.1875,sapienzanlp/Minerva-350M-base-v1.0
28,ignoranza,prigione,,L'ignoranza è una prigione.,L'ignoranza è come una prigione.,riformatorio,9.0,,,,8.0,39.0,82.0,1.894,3.89,3.4,3.0,3.667,5.2,0.789,1.667,5.118,Bambini et al. (2024),-2.9444444444444446,-3.125,7.09375,sapienzanlp/Minerva-1B-base-v1.0,-3.0555555555555554,-3.0,7.28125,sapienzanlp/Minerva-350M-base-v1.0
29,insistenza,trapano,,L'insistenza è un trapano.,L'insistenza è come un trapano.,buco,10.0,,,,7.0,34.0,9.0,2.815,4.598,5.533,1.867,5.467,5.467,0.83,1.905,5.417,Bambini et al. (2024),-4.138888888888889,-3.925,6.375,sapienzanlp/Minerva-1B-base-v1.0,-4.277777777777778,-3.775,6.46875,sapienzanlp/Minerva-350M-base-v1.0
30,intelligenza,scala,,L'intelligenza è una scala.,L'intelligenza è come una scala.,gradino,12.0,,,,5.0,107.0,217.0,2.361,3.721,4.6,3.4,2.933,5.533,0.71,1.5,3.933,Bambini et al. (2024),-4.232142857142857,-3.84375,6.8125,sapienzanlp/Minerva-1B-base-v1.0,-3.892857142857143,-3.46875,6.875,sapienzanlp/Minerva-350M-base-v1.0
31,interrogatorio,tritacarne,,L'interrogatorio è un tritacarne.,L'interrogatorio è come un tritacarne.,polpetta,14.0,,,,10.0,127.0,1.0,3.635,,2.0,4.6,3.133,6.667,0.804,1.19,4.364,Bambini et al. (2024),-3.083333333333333,-3.0,6.875,sapienzanlp/Minerva-1B-base-v1.0,-2.9166666666666665,-2.75,6.53125,sapienzanlp/Minerva-350M-base-v1.0
32,intuizione,chiave,,L'intuizione è una chiave.,L'intuizione è come una chiave.,lucchetto,10.0,,,,6.0,50.0,250.0,2.032,2.946,2.8,3.867,3.667,5.333,0.641,1.5,5.133,Bambini et al. (2024),-3.25,-3.0,6.5,sapienzanlp/Minerva-1B-base-v1.0,-3.0972222222222223,-3.05,5.84375,sapienzanlp/Minerva-350M-base-v1.0
33,istituzione,ingranaggio,,L'istituzione è un ingranaggio.,L'istituzione è come un ingranaggio.,macchina,11.0,,,,11.0,225.0,11.0,2.616,4.172,3.067,3.867,3.267,5.467,0.753,1.7,5.0,Bambini et al. (2024),-3.9444444444444446,-3.775,6.90625,sapienzanlp/Minerva-1B-base-v1.0,-4.027777777777778,-3.7,6.59375,sapienzanlp/Minerva-350M-base-v1.0
34,labbro,gommone,,Il labbro è un gommone.,Il labbro è come un gommone.,salvagente,6.0,,,,7.0,158.0,7.0,4.272,4.678,3.706,3.294,4.176,5.533,0.782,1.375,5.833,Bambini et al. (2024),-3.975,-3.5,6.625,sapienzanlp/Minerva-1B-base-v1.0,-3.575,-3.1818181818181817,6.3125,sapienzanlp/Minerva-350M-base-v1.0
35,lacrima,fontana,,La lacrima è una fontana.,La lacrima è come una fontana.,giardino,7.0,,,,7.0,176.0,40.0,4.222,4.531,4.588,2.059,5.235,5.067,0.685,1.85,6.385,Bambini et al. (2024),-4.1875,-3.8333333333333335,6.90625,sapienzanlp/Minerva-1B-base-v1.0,-4.21875,-3.861111111111111,6.8125,sapienzanlp/Minerva-350M-base-v1.0
36,libro,finestra,,Il libro è una finestra.,Il libro è come una finestra.,tapparella,5.0,,,,8.0,1004.0,287.0,3.838,4.962,3.0,3.0,3.733,4.867,0.841,2.0,5.417,Bambini et al. (2024),-5.020833333333333,-4.25,6.9375,sapienzanlp/Minerva-1B-base-v1.0,-4.5625,-3.9285714285714284,6.25,sapienzanlp/Minerva-350M-base-v1.0
37,linguaggio,ponte,,Il linguaggio è un ponte.,Il linguaggio è come un ponte.,fiume,11.0,,,,5.0,166.0,166.0,2.484,4.404,2.8,3.267,3.467,5.267,0.694,1.6,5.562,Bambini et al. (2024),-4.125,-3.982142857142857,6.78125,sapienzanlp/Minerva-1B-base-v1.0,-4.458333333333333,-4.25,6.15625,sapienzanlp/Minerva-350M-base-v1.0
38,lusinga,miele,,La lusinga è un miele.,La lusinga è come il miele.,sciroppo,7.0,,,,5.0,7.0,63.0,,4.747,3.733,3.467,3.067,6.0,0.811,1.6,5.25,Bambini et al. (2024),-4.8125,-4.083333333333333,7.0,sapienzanlp/Minerva-1B-base-v1.0,-4.59375,-3.5833333333333335,6.8125,sapienzanlp/Minerva-350M-base-v1.0
39,memoria,quaderno,,La memoria è un quaderno.,La memoria è come un quaderno.,penna,7.0,,,,8.0,313.0,18.0,3.374,4.457,4.533,2.667,4.667,3.867,0.683,2.05,5.0,Bambini et al. (2024),-4.053571428571429,-3.703125,7.125,sapienzanlp/Minerva-1B-base-v1.0,-4.107142857142857,-3.5625,6.59375,sapienzanlp/Minerva-350M-base-v1.0
40,menzogna,maschera,,La menzogna è una maschera.,La menzogna è come una maschera.,carnevale,8.0,,,,8.0,32.0,93.0,2.546,4.211,5.0,2.867,4.533,5.8,0.627,1.7,6.111,Bambini et al. (2024),-3.578125,-3.75,7.28125,sapienzanlp/Minerva-1B-base-v1.0,-3.484375,-3.3472222222222223,6.0625,sapienzanlp/Minerva-350M-base-v1.0
41,mondo,serra,,Il mondo è una serra.,Il mondo è come una serra.,pianta,5.0,,,,5.0,2193.0,38.0,3.155,3.709,3.4,2.667,3.8,4.533,0.844,1.5,4.5,Bambini et al. (2024),-4.208333333333333,-3.75,7.5,sapienzanlp/Minerva-1B-base-v1.0,-4.666666666666667,-3.857142857142857,6.0625,sapienzanlp/Minerva-350M-base-v1.0
42,motivazione,molla,,La motivazione è una molla.,La motivazione è come una molla.,materasso,11.0,,,,5.0,98.0,31.0,2.51,4.324,3.667,3.2,3.667,5.667,0.675,1.476,4.727,Bambini et al. (2024),-4.232142857142857,-3.921875,7.0625,sapienzanlp/Minerva-1B-base-v1.0,-4.214285714285714,-3.859375,5.6875,sapienzanlp/Minerva-350M-base-v1.0
43,nebbia,velo,,La nebbia è un velo.,La nebbia è come un velo.,abito,6.0,,,,4.0,98.0,102.0,3.959,4.318,5.133,1.933,5.333,3.8,0.658,1.81,5.583,Bambini et al. (2024),-4.071428571428571,-3.546875,6.6875,sapienzanlp/Minerva-1B-base-v1.0,-4.142857142857143,-3.671875,6.8125,sapienzanlp/Minerva-350M-base-v1.0
44,nuvola,perla,,La nuvola è una perla.,La nuvola è come una perla.,collana,6.0,,,,5.0,79.0,30.0,4.497,4.006,2.067,3.933,2.6,5.8,0.7,1.5,4.812,Bambini et al. (2024),-4.03125,-3.7777777777777777,6.875,sapienzanlp/Minerva-1B-base-v1.0,-3.890625,-3.638888888888889,6.8125,sapienzanlp/Minerva-350M-base-v1.0
45,orecchino,lampadario,,L'orecchino è un lampadario.,L'orecchino è come un lampadario.,soffitto,9.0,,,,10.0,24.0,7.0,4.702,5.097,2.647,3.235,4.0,4.333,0.63,1.8,5.059,Bambini et al. (2024),-3.386363636363636,-3.145833333333333,7.0,sapienzanlp/Minerva-1B-base-v1.0,-3.272727272727273,-3.1458333333333335,7.0,sapienzanlp/Minerva-350M-base-v1.0
46,orgoglio,scudo,,L'orgoglio è uno scudo.,L'orgoglio è come uno scudo.,stemma,8.0,,,,5.0,110.0,37.0,2.596,4.563,3.2,4.4,3.867,6.067,0.697,1.333,5.529,Bambini et al. (2024),-3.375,-3.275,6.9375,sapienzanlp/Minerva-1B-base-v1.0,-3.4027777777777777,-3.075,6.8125,sapienzanlp/Minerva-350M-base-v1.0
47,ossessione,chiodo,,L'ossessione è un chiodo.,L'ossessione è come un chiodo.,martello,10.0,,,,6.0,45.0,44.0,2.582,4.407,5.6,2.067,5.0,6.2,0.738,1.5,5.818,Bambini et al. (2024),-3.6944444444444446,-3.55,6.25,sapienzanlp/Minerva-1B-base-v1.0,-3.6666666666666665,-3.25,6.5,sapienzanlp/Minerva-350M-base-v1.0
48,ottimismo,batteria,,L'ottimismo è una batteria.,L'ottimismo è come una batteria.,telefono,9.0,,,,8.0,69.0,61.0,2.048,4.106,1.667,4.2,1.667,5.933,0.947,1.5,4.714,Bambini et al. (2024),-4.1875,-3.555555555555556,7.03125,sapienzanlp/Minerva-1B-base-v1.0,-3.859375,-3.5833333333333335,7.28125,sapienzanlp/Minerva-350M-base-v1.0
49,pane,spugna,,Il pane è una spugna.,Il pane è come una spugna.,straccio,4.0,,,,6.0,187.0,38.0,4.666,4.279,2.6,2.733,3.267,4.8,0.801,1.5,4.385,Bambini et al. (2024),-4.196428571428571,-3.625,7.53125,sapienzanlp/Minerva-1B-base-v1.0,-4.107142857142857,-3.5625,7.0625,sapienzanlp/Minerva-350M-base-v1.0
50,patatina,cartone,,La patatina è un cartone.,La patatina è come un cartone.,pacco,8.0,,,,7.0,7.0,64.0,4.928,4.273,3.412,2.941,4.529,3.533,0.734,1.4,4.25,Bambini et al. (2024),-5.214285714285714,-4.71875,7.4375,sapienzanlp/Minerva-1B-base-v1.0,-5.142857142857143,-4.8125,6.71875,sapienzanlp/Minerva-350M-base-v1.0
51,paura,tenaglia,,La paura è una tenaglia.,La paura è come una tenaglia.,bullone,5.0,,,,8.0,698.0,6.0,2.739,3.872,4.467,3.2,4.533,5.8,0.738,1.2,5.529,Bambini et al. (2024),-4.285714285714286,-3.75,6.8125,sapienzanlp/Minerva-1B-base-v1.0,-4.071428571428571,-3.75,6.46875,sapienzanlp/Minerva-350M-base-v1.0
52,pelle,ceramica,,La pelle è una ceramica.,La pelle è come una ceramica.,bambola,5.0,,,,8.0,425.0,50.0,4.701,4.1,4.333,2.6,4.867,5.2,0.671,1.6,4.909,Bambini et al. (2024),-5.416666666666667,-4.571428571428571,7.5,sapienzanlp/Minerva-1B-base-v1.0,-5.125,-4.017857142857143,6.5,sapienzanlp/Minerva-350M-base-v1.0
53,pianto,cascata,,Il pianto è una cascata.,Il pianto è come una cascata.,roccia,6.0,,,,7.0,35.0,25.0,3.973,4.07,4.118,2.412,4.882,5.333,0.763,1.9,5.909,Bambini et al. (2024),-4.34375,-3.513888888888889,6.1875,sapienzanlp/Minerva-1B-base-v1.0,-3.84375,-3.2777777777777777,6.125,sapienzanlp/Minerva-350M-base-v1.0
54,piede,barca,,Il piede è una barca.,Il piede è come una barca.,vela,5.0,,,,5.0,704.0,171.0,4.116,4.61,2.882,3.235,4.059,4.267,0.774,1.1,4.083,Bambini et al. (2024),-5.583333333333333,-4.25,6.84375,sapienzanlp/Minerva-1B-base-v1.0,-5.125,-4.375,6.4375,sapienzanlp/Minerva-350M-base-v1.0
55,pigiama,stufa,,Il pigiama è una stufa.,Il pigiama è come una stufa.,caldaia,7.0,,,,5.0,16.0,20.0,4.609,4.537,4.467,2.4,5.467,3.467,0.77,1.75,5.0,Bambini et al. (2024),-3.55,-3.3181818181818183,6.625,sapienzanlp/Minerva-1B-base-v1.0,-3.6,-3.25,6.96875,sapienzanlp/Minerva-350M-base-v1.0
56,poesia,violino,,La poesia è un violino.,La poesia è come un violino.,sonata,6.0,,,,7.0,153.0,35.0,2.934,4.505,3.6,3.267,3.933,4.467,0.763,1.4,4.375,Bambini et al. (2024),-4.214285714285714,-3.4375,7.125,sapienzanlp/Minerva-1B-base-v1.0,-4.25,-3.546875,6.5,sapienzanlp/Minerva-350M-base-v1.0
57,politica,giostra,,La politica è una giostra.,La politica è come una giostra.,scivolo,8.0,,,,7.0,765.0,21.0,2.57,4.212,2.667,4.6,2.933,5.733,0.677,1.6,3.917,Bambini et al. (2024),-3.946428571428572,-3.59375,7.96875,sapienzanlp/Minerva-1B-base-v1.0,-3.75,-3.46875,6.6875,sapienzanlp/Minerva-350M-base-v1.0
58,pregiudizio,benda,,Il pregiudizio è una benda.,Il pregiudizio è come una benda.,occhi,11.0,,,,5.0,64.0,8.0,2.085,4.47,4.067,2.889,4.241,5.333,0.798,1.4,5.667,Bambini et al. (2024),-4.59375,-3.8333333333333335,7.125,sapienzanlp/Minerva-1B-base-v1.0,-4.625,-3.888888888888889,6.75,sapienzanlp/Minerva-350M-base-v1.0
59,rancore,miccia,,Il rancore è una miccia.,Il rancore è come una miccia.,dinamite,7.0,,,,6.0,44.0,4.0,2.983,4.534,3.467,3.333,3.933,6.267,0.82,1.8,4.882,Bambini et al. (2024),-3.638888888888889,-3.45,6.625,sapienzanlp/Minerva-1B-base-v1.0,-3.7222222222222223,-3.575,6.6875,sapienzanlp/Minerva-350M-base-v1.0
60,regola,gabbia,,La regola è una gabbia.,La regola è come una gabbia.,sbarre,6.0,,,,6.0,513.0,54.0,2.97,4.597,2.541,3.0,2.867,5.133,0.749,1.714,4.636,Bambini et al. (2024),-4.303571428571429,-4.53125,7.0,sapienzanlp/Minerva-1B-base-v1.0,-4.607142857142857,-4.375,6.375,sapienzanlp/Minerva-350M-base-v1.0
61,rimorso,spina,,Il rimorso è una spina.,Il rimorso è come una spina.,rosa,7.0,,,,5.0,34.0,41.0,2.911,4.2,3.2,3.267,5.133,5.667,0.825,1.35,4.545,Bambini et al. (2024),-4.928571428571429,-4.15625,6.25,sapienzanlp/Minerva-1B-base-v1.0,-5.107142857142857,-4.375,6.03125,sapienzanlp/Minerva-350M-base-v1.0
62,sarcasmo,pugnale,,Il sarcasmo è un pugnale.,Il sarcasmo è come un pugnale.,spada,8.0,,,,7.0,17.0,12.0,2.817,4.447,2.733,3.6,3.267,5.867,0.672,1.5,4.938,Bambini et al. (2024),-3.925,-3.3181818181818183,7.0625,sapienzanlp/Minerva-1B-base-v1.0,-3.6,-3.25,6.59375,sapienzanlp/Minerva-350M-base-v1.0
63,sentiero,nastro,,Il sentiero è un nastro.,Il sentiero è come un nastro.,regalo,8.0,,,,6.0,67.0,84.0,4.33,4.574,2.412,3.412,3.706,4.933,0.728,1.571,4.5,Bambini et al. (2024),-5.5,-4.678571428571429,7.25,sapienzanlp/Minerva-1B-base-v1.0,-5.333333333333333,-4.892857142857143,6.875,sapienzanlp/Minerva-350M-base-v1.0
64,silenzio,muro,,Il silenzio è un muro.,Il silenzio è come un muro.,cemento,8.0,,,,4.0,381.0,343.0,3.254,4.749,4.867,3.067,4.467,5.867,0.647,1.9,5.818,Bambini et al. (2024),-4.270833333333333,-3.9642857142857135,7.53125,sapienzanlp/Minerva-1B-base-v1.0,-4.3125,-3.625,6.6875,sapienzanlp/Minerva-350M-base-v1.0
65,società,mosaico,,La società è un mosaico.,La società è come un mosaico.,arte,7.0,,,,7.0,1078.0,38.0,3.178,3.97,3.467,4.067,3.333,5.8,0.868,1.6,5.062,Bambini et al. (2024),-4.392857142857143,-3.890625,7.875,sapienzanlp/Minerva-1B-base-v1.0,-4.392857142857143,-3.828125,6.84375,sapienzanlp/Minerva-350M-base-v1.0
66,solitudine,guscio,,La solitudine è un guscio.,La solitudine è come un guscio.,uovo,10.0,,,,6.0,176.0,17.0,2.86,4.638,4.267,3.2,4.533,6.333,0.747,1.1,5.111,Bambini et al. (2024),-4.107142857142857,-3.46875,6.875,sapienzanlp/Minerva-1B-base-v1.0,-4.5,-3.953125,6.5625,sapienzanlp/Minerva-350M-base-v1.0
67,sorriso,sole,,Il sorriso è un sole.,Il sorriso è come un sole.,raggi,7.0,,,,4.0,309.0,485.0,3.849,3.999,4.067,2.667,3.533,4.733,0.615,2.048,5.769,Bambini et al. (2024),-4.9375,-4.142857142857143,7.125,sapienzanlp/Minerva-1B-base-v1.0,-5.5,-4.303571428571429,6.125,sapienzanlp/Minerva-350M-base-v1.0
68,spaghetto,colla,,Lo spaghetto è una colla.,Lo spaghetto è come una colla.,forbice,9.0,,,,5.0,36.0,12.0,4.266,4.241,3.2,2.8,4.067,4.733,0.753,1.2,4.267,Bambini et al. (2024),-4.25,-4.0,6.53125,sapienzanlp/Minerva-1B-base-v1.0,-4.25,-4.111111111111111,7.4375,sapienzanlp/Minerva-350M-base-v1.0
69,speranza,faro,,La speranza è un faro.,La speranza è come un faro.,luce,8.0,,,,4.0,480.0,39.0,2.595,4.09,5.0,2.4,4.333,5.333,0.695,2.143,5.833,Bambini et al. (2024),-3.857142857142857,-3.5,6.90625,sapienzanlp/Minerva-1B-base-v1.0,-3.9107142857142856,-3.703125,6.78125,sapienzanlp/Minerva-350M-base-v1.0
