ID,Met_topic,Met_vehicle,Eng_item,Metaphor,Simile,Lit_topic/vehicle,LengthTopic,Eng_conventionality,Eng_aptness,Eng_aptness_label,LengthVehicle,FrequencyTopic,FrequencyVehicle,ConcretenessTopic,ConcretenessVehicle,Familiarity,Difficulty,Imageability,Metaphoricity,SemanticDistance,N°interpretations,Strength,resources
78,tramonto,fuoco,,Il tramonto è un fuoco.,Il tramonto è come un fuoco.,cenere,8,,,,5,68,609,3.857,4.179,4.176,1.941,5.176,5.067,0.687,1.333,5.882,Bambini et al. (2024)
79,umiliazione,tatuaggio,,L'umiliazione è un tatuaggio.,L'umiliazione è come un tatuaggio.,disegno,11,,,,9,29,22,2.844,4.512,1.4,3.8,2.2,6,0.73,1.095,4.6,Bambini et al. (2024)
80,vaccino,ombrello,,Il vaccino è un ombrello.,Il vaccino è come un ombrello.,pioggia,7,,,,8,9,31,4.112,4.649,3.467,3.581,2.53,5.333,0.831,1.368,5.222,Bambini et al. (2024)
81,verità,torcia,,La verità è una torcia.,La verità è come una torcia.,grotta,6,,,,6,519,21,2.504,4.651,3.4,3.2,3.267,5.2,0.758,1.5,5.235,Bambini et al. (2024)
82,vino,rubino,,Il vino è un rubino.,Il vino è come un rubino.,gioiello,4,,,,6,283,7,4.204,4.161,2.765,3.647,3.765,4.933,0.574,1.556,5.647,Bambini et al. (2024)
83,vita,altalena,,La vita è un'altalena.,La vita è come un'altalena.,parco,4,,,,8,2829,17,2.883,4.312,5.333,2.133,4.067,5.133,0.777,1.7,4.917,Bambini et al. (2024)
84,azienda,organismo,A business is a living organism.,Un'azienda è un organismo vivente.,Un'azienda è come un organismo vivente.,,,1.79,3.76,High,,,,,,,,,,,,,Jones and Estes (2006)
85,cucina,organismo,A kitchen is a living organism.,Una cucina è un organismo vivente.,Una cucina è come un organismo vivente.,,,1.79,2.85,Low,,,,,,,,,,,,,Jones and Estes (2006)
86,portiere,ragno,A goalie is a spider.,Un portiere è un ragno.,Un portiere è come un ragno.,,,1.82,3.27,High,,,,,,,,,,,,,Jones and Estes (2006)
87,pescatore,ragno,A fisherman is a spider.,Un pescatore è un ragno.,Un pescatore è come un ragno.,,,1.82,1.76,Low,,,,,,,,,,,,,Jones and Estes (2006)
88,macchina,barca,His old car is a boat.,La sua vecchia macchina è una barca.,La sua vecchia macchina è come una barca.,,,2.42,3.21,High,,,,,,,,,,,,,Jones and Estes (2006)
89,tosaerba,barca,His old lawn mower is a boat.,Il suo vecchio tosaerba è una barca.,Il suo vecchio tosaerba è come una barca.,,,2.42,2.61,Low,,,,,,,,,,,,,Jones and Estes (2006)
90,castori,boscaioli,Beavers are lumberjacks.,I castori sono boscaioli.,I castori sono come boscaioli.,,,2.58,5.24,High,,,,,,,,,,,,,Jones and Estes (2006)
91,termiti,boscaioli,Termites are lumberjacks.,Le termiti sono boscaioli.,Le termiti sono come boscaioli.,,,2.58,4.18,Low,,,,,,,,,,,,,Jones and Estes (2006)
92,stomaci,botti,Some stomachs are barrels.,Alcuni stomaci sono botti.,Alcuni stomaci sono come botti.,,,2.64,4.7,High,,,,,,,,,,,,,Jones and Estes (2006)
93,vesciche,botti,Some bladders are barrels.,Alcune vesciche sono botti.,Alcune vesciche sono come botti.,,,2.64,3.59,Low,,,,,,,,,,,,,Jones and Estes (2006)
94,lezioni,sonniferi,Some lectures are sleeping pills.,Alcune lezioni sono sonniferi.,Alcune lezioni sono come sonniferi.,,,2.67,6.09,High,,,,,,,,,,,,,Jones and Estes (2006)
95,comici,sonniferi,Some comedians are sleeping pills.,Alcuni comici sono sonniferi.,Alcuni comici sono come sonniferi.,,,2.67,3.31,Low,,,,,,,,,,,,,Jones and Estes (2006)
96,ricerca,alpinismo,Research is mountain climbing.,La ricerca è l'alpinismo.,La ricerca è come l'alpinismo.,,,2.97,4.27,High,,,,,,,,,,,,,Jones and Estes (2006)
97,valutazione,alpinismo,Grading is mountain climbing.,La valutazione è l'alpinismo.,La valutazione è come l'alpinismo.,,,2.97,2.9,Low,,,,,,,,,,,,,Jones and Estes (2006)
98,sguardo,ghiaccio,Her unflinching gaze is ice.,Il suo sguardo impassibile è ghiaccio.,Il suo sguardo impassibile è come ghiaccio.,,,3,4.48,High,,,,,,,,,,,,,Jones and Estes (2006)
99,cenno,ghiaccio,Her quick nod is ice.,Il suo rapido cenno è ghiaccio.,Il suo rapido cenno è come ghiaccio.,,,3,3.61,Low,,,,,,,,,,,,,Jones and Estes (2006)
100,madre,mulo,Her mother is a mule.,Sua madre è un mulo.,Sua madre è come un mulo.,,,3,3.17,High,,,,,,,,,,,,,Jones and Estes (2006)
101,parrucchiere,mulo,Her hairdresser is a mule.,Il suo parrucchiere è un mulo.,Il suo parrucchiere è come un mulo.,,,3,2.03,Low,,,,,,,,,,,,,Jones and Estes (2006)
102,insulti,rasoi,Insults are razors.,Gli insulti sono rasoi.,Gli insulti sono come rasoi.,,,3.18,5.41,High,,,,,,,,,,,,,Jones and Estes (2006)
103,valutazioni,rasoi,Evaluations are razors.,Le valutazioni sono rasoi.,Le valutazioni sono come rasoi.,,,3.18,3.52,Low,,,,,,,,,,,,,Jones and Estes (2006)
104,fumo,bomba,Smoking is a time bomb.,Il fumo è una bomba a orologeria.,Il fumo è come una bomba a orologeria.,,,3.18,5.24,High,,,,,,,,,,,,,Jones and Estes (2006)
105,cocaina,bomba,Cocaine is a time bomb.,La cocaina è una bomba a orologeria.,La cocaina è come una bomba a orologeria.,,,3.18,4.66,Low,,,,,,,,,,,,,Jones and Estes (2006)
106,istruzione,lanterna,Education is a lantern.,L'istruzione è una lanterna.,L'istruzione è come una lanterna.,,,3.21,5.17,High,,,,,,,,,,,,,Jones and Estes (2006)
107,dibattito,lanterna,Debate is a lantern.,Il dibattito è una lanterna.,Il dibattito è come una lanterna.,,,3.21,3.18,Low,,,,,,,,,,,,,Jones and Estes (2006)
108,marito,gioiello,Her husband is a gem.,Suo marito è un gioiello.,Suo marito è come un gioiello.,,,3.45,4.97,High,,,,,,,,,,,,,Jones and Estes (2006)
109,ex marito,gioiello,Her ex-husband is a gem.,Il suo ex marito è un gioiello.,Il suo ex marito è come un gioiello.,,,3.45,3.64,Low,,,,,,,,,,,,,Jones and Estes (2006)
110,gallo,sveglia,A rooster is an alarm clock.,Un gallo è una sveglia.,Un gallo è come una sveglia.,,,3.48,5.52,High,,,,,,,,,,,,,Jones and Estes (2006)
111,pettirosso,sveglia,A robin is an alarm clock.,Un pettirosso è una sveglia.,Un pettirosso è come una sveglia.,,,3.48,3.88,Low,,,,,,,,,,,,,Jones and Estes (2006)
112,corso di informatica,barzelletta,My computer skills course is a joke.,Il mio corso di informatica è una barzelletta.,Il mio corso di informatica è come una barzelletta.,,,3.52,5.48,High,,,,,,,,,,,,,Jones and Estes (2006)
113,corso di chimica organica,barzelletta,My organic chemistry course is a joke.,Il mio corso di chimica organica è una barzelletta.,Il mio corso di chimica organica è come una barzelletta.,,,3.52,4.31,Low,,,,,,,,,,,,,Jones and Estes (2006)
114,mente,arena,The mind is an arena.,La mente è un'arena.,La mente è come un'arena.,,,3.55,4.72,High,,,,,,,,,,,,,Jones and Estes (2006)
115,subconscio,arena,The subconscious is an arena.,Il subconscio è un'arena.,Il subconscio è come un'arena.,,,3.55,4.03,Low,,,,,,,,,,,,,Jones and Estes (2006)
116,negozi,giungle,Many stores are jungles.,Molti negozi sono giungle.,Molti negozi sono come giungle.,,,3.55,4.36,High,,,,,,,,,,,,,Jones and Estes (2006)
117,spiagge,giungle,Many beaches are jungles.,Molte spiagge sono giungle.,Molte spiagge sono come giungle.,,,3.55,2.24,Low,,,,,,,,,,,,,Jones and Estes (2006)
118,classe dell'asilo,zoo,His kindergarten class is a zoo.,La sua classe dell'asilo è uno zoo.,La sua classe dell'asilo è come uno zoo.,,,3.58,5.69,High,,,,,,,,,,,,,Jones and Estes (2006)
119,classe universitaria,zoo,His college class is a zoo.,La sua classe universitaria è uno zoo.,La sua classe universitaria è come uno zoo.,,,3.58,4.64,Low,,,,,,,,,,,,,Jones and Estes (2006)
120,vialetto,pista di pattinaggio,The driveway is an ice rink.,Il vialetto è una pista di pattinaggio.,Il vialetto è come una pista di pattinaggio.,,,3.64,4,High,,,,,,,,,,,,,Jones and Estes (2006)
121,prato,pista di pattinaggio,The front lawn is an ice rink.,Il prato davanti casa è una pista di pattinaggio.,Il prato davanti casa è come una pista di pattinaggio.,,,3.64,2.86,Low,,,,,,,,,,,,,Jones and Estes (2006)
122,esame finale di geografia,impresa,Her final exam in Geography was a bear.,Il suo esame finale di geografia era un'impresa.,Il suo esame finale di geografia era come un'impresa.,,,3.73,3.41,High,,,,,,,,,,,,,Jones and Estes (2006)
123,estati libere,impresa,Having summers off was a bear.,Avere le estati libere era un'impresa.,Avere le estati libere era come un'impresa.,,,3.73,2.12,Low,,,,,,,,,,,,,Jones and Estes (2006)
124,bugia,pugnale,A lie is a dagger.,Una bugia è un pugnale.,Una bugia è come un pugnale.,,,3.73,5.69,High,,,,,,,,,,,,,Jones and Estes (2006)
125,desiderio,pugnale,A wish is a dagger.,Un desiderio è un pugnale.,Un desiderio è come un pugnale.,,,3.73,2.48,Low,,,,,,,,,,,,,Jones and Estes (2006)
126,brutta notizia,terremoto,The bad news was an earthquake.,La brutta notizia è stata un terremoto.,La brutta notizia è stata come un terremoto.,,,3.85,4.79,High,,,,,,,,,,,,,Jones and Estes (2006)
127,buona notizia,terremoto,The good news was an earthquake.,La buona notizia è stata un terremoto.,La buona notizia è stata come un terremoto.,,,3.85,2,Low,,,,,,,,,,,,,Jones and Estes (2006)
128,zoo,museo,A zoo is a museum.,Uno zoo è un museo.,Uno zoo è come un museo.,,,3.94,4.14,High,,,,,,,,,,,,,Jones and Estes (2006)
129,conferenza,museo,A conference is a museum.,Una conferenza è un museo.,Una conferenza è come un museo.,,,3.94,2.48,Low,,,,,,,,,,,,,Jones and Estes (2006)
130,avventura,montagna russa,Adventure is a roller coaster.,L'avventura è una montagna russa.,L'avventura è come una montagna russa.,,,3.97,5.66,High,,,,,,,,,,,,,Jones and Estes (2006)
131,viaggiare,montagna russa,Traveling is a roller coaster.,Viaggiare è una montagna russa.,Viaggiare è come una montagna russa.,,,3.97,4.79,Low,,,,,,,,,,,,,Jones and Estes (2006)
132,impronta digitale,ritratto,That criminal's fingerprint is a portrait.,L'impronta digitale di quel criminale è un ritratto.,L'impronta digitale di quel criminale è come un ritratto.,,,4.03,4.85,High,,,,,,,,,,,,,Jones and Estes (2006)
133,percorso,ritratto,That criminal's pathway is a portrait.,Il percorso di quel criminale è un ritratto.,Il percorso di quel criminale è come un ritratto.,,,4.03,2.79,Low,,,,,,,,,,,,,Jones and Estes (2006)
134,insegnanti,enciclopedie,Some teachers are encyclopedias.,Alcuni insegnanti sono enciclopedie.,Alcuni insegnanti sono come enciclopedie.,,,4.09,5.64,High,,,,,,,,,,,,,Jones and Estes (2006)
135,allenatori,enciclopedie,Some coaches are encyclopedias.,Alcuni allenatori sono enciclopedie.,Alcuni allenatori sono come enciclopedie.,,,4.09,3.31,Low,,,,,,,,,,,,,Jones and Estes (2006)
136,nonna,pesca,My grandmother is a peach.,Mia nonna è una pesca.,Mia nonna è come una pesca.,,,4.09,4.82,High,,,,,,,,,,,,,Jones and Estes (2006)
137,ragazzo,pesca,My boyfriend is a peach.,Il mio ragazzo è una pesca.,Il mio ragazzo è come una pesca.,,,4.09,3.41,Low,,,,,,,,,,,,,Jones and Estes (2006)
138,peperoncini jalapeño,fuoco,Jalapeño peppers are fire.,I peperoncini jalapeño sono fuoco.,I peperoncini jalapeño sono come fuoco.,,,4.12,5.03,High,,,,,,,,,,,,,Jones and Estes (2006)
139,peperoni,fuoco,Bell peppers are fire.,I peperoni sono fuoco.,I peperoni sono come fuoco.,,,4.12,3.97,Low,,,,,,,,,,,,,Jones and Estes (2006)
140,divorzi,tempeste,Some divorces are storms.,Alcuni divorzi sono tempeste.,Alcuni divorzi sono come tempeste.,,,4.12,5.7,High,,,,,,,,,,,,,Jones and Estes (2006)
141,adozioni,tempeste,Some adoptions are storms.,Alcune adozioni sono tempeste.,Alcune adozioni sono come tempeste.,,,4.12,2.59,Low,,,,,,,,,,,,,Jones and Estes (2006)
